[9006533][System][I] PWR 4.02V, -347ma
[9066547][System][I] PWR 4.02V, -340ma
[9126554][System][I] PWR 4.03V, -290ma
[9186560][System][I] PWR 4.02V, -355ma
[9246564][System][I] PWR 4.02V, -291ma
[9306571][System][I] PWR 4.02V, -329ma
[9366576][System][I] PWR 4.02V, -287ma
[9426581][System][I] PWR 4.02V, -319ma
[9486588][System][I] PWR 4.02V, -286ma
[9546601][System][I] PWR 4.01V, -338ma
[9606612][System][I] PWR 4.01V, -354ma
[9666622][System][I] PWR 4.02V, -288ma
[9726628][System][I] PWR 4.01V, -359ma
[9786637][System][I] PWR 4.02V, -285ma
[9846646][System][I] PWR 4.01V, -299ma
[9906652][System][I] PWR 4.02V, -278ma
[9966662][System][I] PWR 4.01V, -348ma
[10026667][System][I] PWR 4.01V, -315ma
[10086670][System][I] PWR 4.00V, -349ma
[10146680][System][I] PWR 4.00V, -350ma
[10206685][System][I] PWR 4.00V, -347ma
[10266695][System][I] PWR 4.01V, -322ma
[10326707][System][I] PWR 4.01V, -289ma
[10386717][System][I] PWR 4.01V, -281ma
[10446727][System][I] PWR 4.01V, -290ma
[10506740][System][I] PWR 4.00V, -348ma
[10566753][System][I] PWR 4.00V, -319ma
[10626766][System][I] PWR 4.00V, -291ma
[10686775][System][I] PWR 3.99V, -348ma
[10746783][System][I] PWR 4.00V, -289ma
[10806787][System][I] PWR 4.00V, -287ma
[10866800][System][I] PWR 4.00V, -302ma
[10926807][System][I] PWR 4.00V, -284ma
[10986818][System][I] PWR 4.00V, -300ma
[11046824][System][I] PWR 3.99V, -352ma
[11106837][System][I] PWR 3.99V, -332ma
[11166845][System][I] PWR 3.99V, -355ma
[11226850][System][I] PWR 3.99V, -348ma
[11286861][System][I] PWR 3.99V, -344ma
[11346866][System][I] PWR 3.98V, -336ma
[11406879][System][I] PWR 3.99V, -289ma
[11466890][System][I] PWR 3.99V, -293ma
[11526894][System][I] PWR 3.98V, -346ma
[11586907][System][I] PWR 3.99V, -295ma
[11646915][System][I] PWR 3.98V, -360ma
[11706928][System][I] PWR 3.99V, -290ma
[11766937][System][I] PWR 3.98V, -356ma
[11826946][System][I] PWR 3.98V, -293ma
[11886952][System][I] PWR 3.97V, -348ma
[11946957][System][I] PWR 3.98V, -323ma
[12006968][System][I] PWR 3.97V, -349ma
[12066980][System][I] PWR 3.97V, -357ma
[12126985][System][I] PWR 3.97V, -354ma
[12186995][System][I] PWR 3.97V, -363ma
[12247001][System][I] PWR 3.97V, -338ma
[12307017][System][I] PWR 3.97V, -299ma
[12367024][System][I] PWR 3.97V, -349ma
[12427030][System][I] PWR 3.97V, -285ma
[12487041][System][I] PWR 3.97V, -304ma
[12547054][System][I] PWR 3.96V, -289ma
[12607069][System][I] PWR 3.97V, -289ma
[12667075][System][I] PWR 3.97V, -290ma
[12727081][System][I] PWR 3.96V, -311ma
[12787086][System][I] PWR 3.96V, -357ma
[12847094][System][I] PWR 3.97V, -292ma
[12907098][System][I] PWR 3.96V, -327ma
[12967111][System][I] PWR 3.96V, -304ma
[13027117][System][I] PWR 3.96V, -359ma
[13087127][System][I] PWR 3.96V, -346ma
[13147141][System][I] PWR 3.95V, -360ma
[13207151][System][I] PWR 3.96V, -296ma
[13267161][System][I] PWR 3.95V, -352ma
[13327173][System][I] PWR 3.95V, -371ma
[13387180][System][I] PWR 3.96V, -307ma
[13447184][System][I] PWR 3.96V, -289ma
[13507190][System][I] PWR 3.96V, -287ma
[13567200][System][I] PWR 3.95V, -355ma
[13627205][System][I] PWR 3.95V, -362ma
[13687213][System][I] PWR 3.95V, -315ma
[13747227][System][I] PWR 3.95V, -294ma
[13807231][System][I] PWR 3.94V, -362ma
[13867243][System][I] PWR 3.95V, -287ma
[13927254][System][I] PWR 3.95V, -321ma
[13987261][System][I] PWR 3.94V, -353ma
[14047274][System][I] PWR 3.95V, -290ma
[14107278][System][I] PWR 3.94V, -350ma
[14167285][System][I] PWR 3.94V, -357ma
[14227295][System][I] PWR 3.95V, -289ma
[14287299][System][I] PWR 3.94V, -350ma
[14347315][System][I] PWR 3.94V, -340ma
[14407324][System][I] PWR 3.94V, -297ma
[14467329][System][I] PWR 3.94V, -292ma
[14527337][System][I] PWR 3.94V, -297ma
[14587348][System][I] PWR 3.94V, -297ma
[14647356][System][I] PWR 3.94V, -313ma
[14707369][System][I] PWR 3.93V, -353ma
[14767376][System][I] PWR 3.94V, -288ma
[14827394][System][I] PWR 3.94V, -287ma
[14887403][System][I] PWR 3.93V, -353ma
[14947411][System][I] PWR 3.94V, -300ma
[15007418][System][I] PWR 3.93V, -353ma
[15067433][System][I] PWR 3.93V, -310ma
[15127437][System][I] PWR 3.93V, -289ma
[15187445][System][I] PWR 3.93V, -294ma
[15247456][System][I] PWR 3.93V, -292ma
[15307472][System][I] PWR 3.93V, -290ma
[15367481][System][I] PWR 3.92V, -363ma
[15427493][System][I] PWR 3.93V, -342ma
[15487507][System][I] PWR 3.92V, -355ma
[15547516][System][I] PWR 3.92V, -364ma
[15607522][System][I] PWR 3.92V, -332ma
[15667530][System][I] PWR 3.92V, -358ma
[15727534][System][I] PWR 3.92V, -335ma
[15787542][System][I] PWR 3.92V, -318ma
[15847548][System][I] PWR 3.91V, -355ma
[15907553][System][I] PWR 3.92V, -295ma
[15967564][System][I] PWR 3.92V, -285ma
[16027575][System][I] PWR 3.91V, -360ma
[16087581][System][I] PWR 3.91V, -355ma
[16147592][System][I] PWR 3.92V, -293ma
[16207602][System][I] PWR 3.91V, -360ma
[16267616][System][I] PWR 3.91V, -358ma
[16327630][System][I] PWR 3.91V, -363ma
[16387635][System][I] PWR 3.91V, -364ma
[16447646][System][I] PWR 3.91V, -313ma
[16507657][System][I] PWR 3.91V, -300ma
[16567664][System][I] PWR 3.91V, -356ma
[16627672][System][I] PWR 3.91V, -352ma
[16687690][System][I] PWR 3.91V, -301ma
[16747700][System][I] PWR 3.90V, -356ma
[16807723][System][I] PWR 3.91V, -296ma
[16867728][System][I] PWR 3.91V, -290ma
[16927733][System][I] PWR 3.90V, -352ma
[16987737][System][I] PWR 3.91V, -297ma
[17047748][System][I] PWR 3.90V, -360ma
[17107756][System][I] PWR 3.90V, -354ma
[17167769][System][I] PWR 3.90V, -356ma
[17227782][System][I] PWR 3.90V, -355ma
[17287790][System][I] PWR 3.90V, -362ma
[17347794][System][I] PWR 3.90V, -355ma
[17407800][System][I] PWR 3.90V, -339ma
[17467805][System][I] PWR 3.90V, -300ma
[17527812][System][I] PWR 3.90V, -342ma
[17587816][System][I] PWR 3.90V, -296ma
[17647824][System][I] PWR 3.89V, -360ma
[17707834][System][I] PWR 3.89V, -352ma
[17767844][System][I] PWR 3.90V, -300ma
[17827849][System][I] PWR 3.89V, -355ma
[17887856][System][I] PWR 3.89V, -304ma
[17947865][System][I] PWR 3.90V, -299ma
[18007869][System][I] PWR 3.90V, -299ma
[18067876][System][I] PWR 3.89V, -357ma
[18127885][System][I] PWR 3.89V, -358ma
[18187894][System][I] PWR 3.89V, -350ma
[18247904][System][I] PWR 3.88V, -360ma
[18307909][System][I] PWR 3.88V, -350ma
[18367916][System][I] PWR 3.88V, -368ma
[18427928][System][I] PWR 3.88V, -363ma
[18487934][System][I] PWR 3.88V, -356ma
[18547943][System][I] PWR 3.89V, -299ma
[18607957][System][I] PWR 3.88V, -335ma
[18667965][System][I] PWR 3.89V, -293ma
[18727969][System][I] PWR 3.88V, -301ma
[18787979][System][I] PWR 3.88V, -300ma
[18847985][System][I] PWR 3.88V, -290ma
[18907990][System][I] PWR 3.88V, -328ma
[18967995][System][I] PWR 3.87V, -355ma
[19028009][System][I] PWR 3.87V, -366ma
[19088017][System][I] PWR 3.88V, -348ma
[19148030][System][I] PWR 3.88V, -365ma
[19208043][System][I] PWR 3.87V, -358ma
[19268051][System][I] PWR 3.87V, -361ma
[19328064][System][I] PWR 3.87V, -342ma
[19388074][System][I] PWR 3.87V, -357ma
[19448085][System][I] PWR 3.87V, -360ma
[19508093][System][I] PWR 3.87V, -311ma
[19568107][System][I] PWR 3.87V, -355ma
[19628117][System][I] PWR 3.87V, -339ma
[19688124][System][I] PWR 3.87V, -317ma
[19748131][System][I] PWR 3.87V, -303ma
[19808141][System][I] PWR 3.87V, -328ma
[19868149][System][I] PWR 3.86V, -363ma
[19928156][System][I] PWR 3.86V, -363ma
[19988167][System][I] PWR 3.86V, -357ma
[20048174][System][I] PWR 3.86V, -360ma
[20108186][System][I] PWR 3.87V, -297ma
[20168195][System][I] PWR 3.87V, -308ma
[20228199][System][I] PWR 3.87V, -288ma
[20288204][System][I] PWR 3.86V, -367ma
[20348215][System][I] PWR 3.86V, -353ma
[20408225][System][I] PWR 3.85V, -360ma
[20468232][System][I] PWR 3.85V, -323ma
[20528240][System][I] PWR 3.85V, -358ma
[20588249][System][I] PWR 3.86V, -291ma
[20648254][System][I] PWR 3.85V, -341ma
[20708258][System][I] PWR 3.85V, -355ma
[20768270][System][I] PWR 3.86V, -295ma
[20828275][System][I] PWR 3.85V, -365ma
[20888283][System][I] PWR 3.85V, -337ma
[20948295][System][I] PWR 3.85V, -298ma
[21008302][System][I] PWR 3.85V, -303ma
[21068307][System][I] PWR 3.85V, -297ma
[21128312][System][I] PWR 3.85V, -356ma
[21188320][System][I] PWR 3.85V, -301ma
[21248329][System][I] PWR 3.84V, -366ma
[21308337][System][I] PWR 3.84V, -303ma
[21368344][System][I] PWR 3.84V, -367ma
[21428348][System][I] PWR 3.84V, -334ma
[21488361][System][I] PWR 3.85V, -296ma
[21548367][System][I] PWR 3.84V, -311ma
[21608376][System][I] PWR 3.85V, -298ma
[21668385][System][I] PWR 3.84V, -363ma
[21728397][System][I] PWR 3.84V, -300ma
[21788408][System][I] PWR 3.84V, -362ma
[21848415][System][I] PWR 3.83V, -360ma
[21908425][System][I] PWR 3.84V, -289ma
[21968428][System][I] PWR 3.84V, -299ma
[22028435][System][I] PWR 3.84V, -318ma
[22088448][System][I] PWR 3.84V, -292ma
[22148452][System][I] PWR 3.83V, -348ma
[22208468][System][I] PWR 3.83V, -356ma
[22268480][System][I] PWR 3.83V, -356ma
[22328493][System][I] PWR 3.82V, -377ma
[22388496][System][I] PWR 3.83V, -353ma
[22448503][System][I] PWR 3.83V, -300ma
[22508513][System][I] PWR 3.82V, -369ma
[22568521][System][I] PWR 3.83V, -299ma
